program,data_file,min_sup,run_time
apriori.py,data.txt,0.01,0.05229221697663888
apriori.py,data.txt,0.01,0.041117151034995914
apriori.py,data.txt,0.01,0.03998818900436163
rmtid_apriori.py,data.txt,0.01,0.04614839202258736
rmtid_apriori.py,data.txt,0.01,0.038658634992316365
rmtid_apriori.py,data.txt,0.01,0.04209915897808969
p_rmtid_apriori.py,data.txt,0.01,0.42127867304952815
p_rmtid_apriori.py,data.txt,0.01,0.4317989069968462
p_rmtid_apriori.py,data.txt,0.01,0.3984649839694612
apriori.py,data.txt,0.109,0.04292208299739286
apriori.py,data.txt,0.109,0.04705057496903464
apriori.py,data.txt,0.109,0.041199073020834476
rmtid_apriori.py,data.txt,0.109,0.04554593504872173
rmtid_apriori.py,data.txt,0.109,0.0412456130143255
rmtid_apriori.py,data.txt,0.109,0.04349808901315555
p_rmtid_apriori.py,data.txt,0.109,0.41837375797331333
p_rmtid_apriori.py,data.txt,0.109,0.40437213599216193
p_rmtid_apriori.py,data.txt,0.109,0.39252325805136934
apriori.py,data.txt,0.20800000000000002,0.04644032701617107
apriori.py,data.txt,0.20800000000000002,0.041430654004216194
apriori.py,data.txt,0.20800000000000002,0.04074046399910003
rmtid_apriori.py,data.txt,0.20800000000000002,0.052321262017358094
rmtid_apriori.py,data.txt,0.20800000000000002,0.06279105797875673
rmtid_apriori.py,data.txt,0.20800000000000002,0.05612060602288693
p_rmtid_apriori.py,data.txt,0.20800000000000002,0.43527642195113003
p_rmtid_apriori.py,data.txt,0.20800000000000002,0.422523410001304
p_rmtid_apriori.py,data.txt,0.20800000000000002,0.4161455539870076
apriori.py,data.txt,0.30700000000000005,0.0511758669745177
apriori.py,data.txt,0.30700000000000005,0.045854827971197665
apriori.py,data.txt,0.30700000000000005,0.04273305495735258
rmtid_apriori.py,data.txt,0.30700000000000005,0.05108030000701547
rmtid_apriori.py,data.txt,0.30700000000000005,0.0450486849877052
rmtid_apriori.py,data.txt,0.30700000000000005,0.04512804502155632
p_rmtid_apriori.py,data.txt,0.30700000000000005,0.30447097605792806
p_rmtid_apriori.py,data.txt,0.30700000000000005,0.2886791049968451
p_rmtid_apriori.py,data.txt,0.30700000000000005,0.3051472050137818
apriori.py,data.txt,0.406,0.05168254702584818
apriori.py,data.txt,0.406,0.043809785041958094
apriori.py,data.txt,0.406,0.04463832196779549
rmtid_apriori.py,data.txt,0.406,0.0507447860436514
rmtid_apriori.py,data.txt,0.406,0.05069872195599601
rmtid_apriori.py,data.txt,0.406,0.04906160000246018
p_rmtid_apriori.py,data.txt,0.406,0.31008874002145603
p_rmtid_apriori.py,data.txt,0.406,0.3070709449821152
p_rmtid_apriori.py,data.txt,0.406,0.3026612670510076
apriori.py,data.txt,0.505,0.06493827904341742
apriori.py,data.txt,0.505,0.052604869997594506
apriori.py,data.txt,0.505,0.050404555979184806
rmtid_apriori.py,data.txt,0.505,0.06350105901947245
rmtid_apriori.py,data.txt,0.505,0.05151579197263345
rmtid_apriori.py,data.txt,0.505,0.0522880670032464
p_rmtid_apriori.py,data.txt,0.505,0.1977802850306034
p_rmtid_apriori.py,data.txt,0.505,0.1748949209577404
p_rmtid_apriori.py,data.txt,0.505,0.181448207993526
apriori.py,data.txt,0.6040000000000001,0.04394385701743886
apriori.py,data.txt,0.6040000000000001,0.04631924896966666
apriori.py,data.txt,0.6040000000000001,0.03975892497692257
rmtid_apriori.py,data.txt,0.6040000000000001,0.04544076998718083
rmtid_apriori.py,data.txt,0.6040000000000001,0.03920112201012671
rmtid_apriori.py,data.txt,0.6040000000000001,0.043099617992993444
p_rmtid_apriori.py,data.txt,0.6040000000000001,0.18312459700973704
